=============================================================================================
Intra-Node Communication

Performance for Process Count: 2
For message size: 2^0 	Recursive Doubling and Brucks Algorithm: 7.260549013656567e-07		Ring Algorithm: 7.260549013656567e-07
For message size: 2^1 	Recursive Doubling and Brucks Algorithm: 7.27307753700944e-07		Ring Algorithm: 7.27307753700944e-07
For message size: 2^2 	Recursive Doubling and Brucks Algorithm: 7.298134583715184e-07		Ring Algorithm: 7.298134583715184e-07
For message size: 2^3 	Recursive Doubling and Brucks Algorithm: 7.348248677126673e-07		Ring Algorithm: 7.348248677126673e-07
For message size: 2^4 	Recursive Doubling and Brucks Algorithm: 7.448476863949652e-07		Ring Algorithm: 7.448476863949652e-07
For message size: 2^5 	Recursive Doubling and Brucks Algorithm: 7.648933237595609e-07		Ring Algorithm: 7.648933237595609e-07
For message size: 2^6 	Recursive Doubling and Brucks Algorithm: 8.049845984887525e-07		Ring Algorithm: 8.049845984887525e-07
For message size: 2^7 	Recursive Doubling and Brucks Algorithm: 8.851671479471354e-07		Ring Algorithm: 8.851671479471354e-07
For message size: 2^8 	Recursive Doubling and Brucks Algorithm: 1.0455322468639013e-06		Ring Algorithm: 1.0455322468639013e-06
For message size: 2^9 	Recursive Doubling and Brucks Algorithm: 1.366262444697433e-06		Ring Algorithm: 1.366262444697433e-06
For message size: 2^10 	Recursive Doubling and Brucks Algorithm: 2.007722840364497e-06		Ring Algorithm: 2.007722840364497e-06
For message size: 2^0 	Recursive Doubling and Brucks Algorithm: 8.892870967741933e-06		Ring Algorithm: 8.892870967741933e-06
For message size: 2^1 	Recursive Doubling and Brucks Algorithm: 9.072741935483869e-06		Ring Algorithm: 9.072741935483869e-06
For message size: 2^2 	Recursive Doubling and Brucks Algorithm: 9.43248387096774e-06		Ring Algorithm: 9.43248387096774e-06
For message size: 2^3 	Recursive Doubling and Brucks Algorithm: 1.0151967741935483e-05		Ring Algorithm: 1.0151967741935483e-05
For message size: 2^4 	Recursive Doubling and Brucks Algorithm: 1.1590935483870968e-05		Ring Algorithm: 1.1590935483870968e-05
For message size: 2^5 	Recursive Doubling and Brucks Algorithm: 1.4468870967741936e-05		Ring Algorithm: 1.4468870967741936e-05
For message size: 2^6 	Recursive Doubling and Brucks Algorithm: 2.0224741935483877e-05		Ring Algorithm: 2.0224741935483877e-05
For message size: 2^7 	Recursive Doubling and Brucks Algorithm: 3.173648387096776e-05		Ring Algorithm: 3.173648387096776e-05
For message size: 2^8 	Recursive Doubling and Brucks Algorithm: 5.475996774193551e-05		Ring Algorithm: 5.475996774193551e-05
For message size: 2^9 	Recursive Doubling and Brucks Algorithm: 0.00010080693548387103		Ring Algorithm: 0.00010080693548387103

Performance for Process Count: 4
For message size: 2^0 	Recursive Doubling and Brucks Algorithm: 1.4514833765636698e-06		Ring Algorithm: 2.1762854255940392e-06
For message size: 2^1 	Recursive Doubling and Brucks Algorithm: 1.4533626550666006e-06		Ring Algorithm: 2.17816470409697e-06
For message size: 2^2 	Recursive Doubling and Brucks Algorithm: 1.4571212120724623e-06		Ring Algorithm: 2.1819232611028317e-06
For message size: 2^3 	Recursive Doubling and Brucks Algorithm: 1.4646383260841858e-06		Ring Algorithm: 2.189440375114555e-06
For message size: 2^4 	Recursive Doubling and Brucks Algorithm: 1.4796725541076326e-06		Ring Algorithm: 2.204474603138002e-06
For message size: 2^5 	Recursive Doubling and Brucks Algorithm: 1.5097410101545262e-06		Ring Algorithm: 2.2345430591848954e-06
For message size: 2^6 	Recursive Doubling and Brucks Algorithm: 1.5698779222483134e-06		Ring Algorithm: 2.294679971278683e-06
For message size: 2^7 	Recursive Doubling and Brucks Algorithm: 1.6901517464358878e-06		Ring Algorithm: 2.4149537954662573e-06
For message size: 2^8 	Recursive Doubling and Brucks Algorithm: 1.9306993948110367e-06		Ring Algorithm: 2.655501443841406e-06
For message size: 2^9 	Recursive Doubling and Brucks Algorithm: 2.4117946915613345e-06		Ring Algorithm: 3.136596740591704e-06
For message size: 2^10 	Recursive Doubling and Brucks Algorithm: 3.37398528506193e-06		Ring Algorithm: 4.0987873340923e-06
For message size: 2^0 	Recursive Doubling and Brucks Algorithm: 1.76958064516129e-05		Ring Algorithm: 2.64088064516129e-05
For message size: 2^1 	Recursive Doubling and Brucks Algorithm: 1.7965612903225803e-05		Ring Algorithm: 2.6678612903225803e-05
For message size: 2^2 	Recursive Doubling and Brucks Algorithm: 1.8505225806451608e-05		Ring Algorithm: 2.7218225806451607e-05
For message size: 2^3 	Recursive Doubling and Brucks Algorithm: 1.9584451612903223e-05		Ring Algorithm: 2.8297451612903223e-05
For message size: 2^4 	Recursive Doubling and Brucks Algorithm: 2.174290322580645e-05		Ring Algorithm: 3.045590322580645e-05
For message size: 2^5 	Recursive Doubling and Brucks Algorithm: 2.6059806451612903e-05		Ring Algorithm: 3.4772806451612905e-05
For message size: 2^6 	Recursive Doubling and Brucks Algorithm: 3.469361290322581e-05		Ring Algorithm: 4.340661290322581e-05
For message size: 2^7 	Recursive Doubling and Brucks Algorithm: 5.1961225806451634e-05		Ring Algorithm: 6.067422580645163e-05
For message size: 2^8 	Recursive Doubling and Brucks Algorithm: 8.649645161290326e-05		Ring Algorithm: 9.520945161290326e-05
For message size: 2^9 	Recursive Doubling and Brucks Algorithm: 0.00015556690322580653		Ring Algorithm: 0.00016427990322580654

Performance for Process Count: 8
For message size: 2^0 	Recursive Doubling and Brucks Algorithm: 2.176598638677861e-06		Ring Algorithm: 5.07580683479934e-06
For message size: 2^1 	Recursive Doubling and Brucks Algorithm: 2.1787911302646135e-06		Ring Algorithm: 5.077999326386092e-06
For message size: 2^2 	Recursive Doubling and Brucks Algorithm: 2.183176113438119e-06		Ring Algorithm: 5.082384309559597e-06
For message size: 2^3 	Recursive Doubling and Brucks Algorithm: 2.1919460797851298e-06		Ring Algorithm: 5.091154275906608e-06
For message size: 2^4 	Recursive Doubling and Brucks Algorithm: 2.209486012479151e-06		Ring Algorithm: 5.1086942086006294e-06
For message size: 2^5 	Recursive Doubling and Brucks Algorithm: 2.2445658778671935e-06		Ring Algorithm: 5.143774073988672e-06
For message size: 2^6 	Recursive Doubling and Brucks Algorithm: 2.3147256086432785e-06		Ring Algorithm: 5.213933804764757e-06
For message size: 2^7 	Recursive Doubling and Brucks Algorithm: 2.4550450701954486e-06		Ring Algorithm: 5.354253266316927e-06
For message size: 2^8 	Recursive Doubling and Brucks Algorithm: 2.7356839932997893e-06		Ring Algorithm: 5.634892189421267e-06
For message size: 2^9 	Recursive Doubling and Brucks Algorithm: 3.2969618395084698e-06		Ring Algorithm: 6.196170035629948e-06
For message size: 2^10 	Recursive Doubling and Brucks Algorithm: 4.419517531925831e-06		Ring Algorithm: 7.318725728047309e-06
For message size: 2^0 	Recursive Doubling and Brucks Algorithm: 2.6453774193548383e-05		Ring Algorithm: 6.130577419354838e-05
For message size: 2^1 	Recursive Doubling and Brucks Algorithm: 2.676854838709677e-05		Ring Algorithm: 6.162054838709676e-05
For message size: 2^2 	Recursive Doubling and Brucks Algorithm: 2.7398096774193545e-05		Ring Algorithm: 6.225009677419354e-05
For message size: 2^3 	Recursive Doubling and Brucks Algorithm: 2.8657193548387092e-05		Ring Algorithm: 6.350919354838708e-05
For message size: 2^4 	Recursive Doubling and Brucks Algorithm: 3.117538709677419e-05		Ring Algorithm: 6.602738709677419e-05
For message size: 2^5 	Recursive Doubling and Brucks Algorithm: 3.621177419354839e-05		Ring Algorithm: 7.106377419354837e-05
For message size: 2^6 	Recursive Doubling and Brucks Algorithm: 4.628454838709678e-05		Ring Algorithm: 8.113654838709678e-05
For message size: 2^7 	Recursive Doubling and Brucks Algorithm: 6.643009677419357e-05		Ring Algorithm: 0.00010128209677419357
For message size: 2^8 	Recursive Doubling and Brucks Algorithm: 0.00010672119354838714		Ring Algorithm: 0.00014157319354838715
For message size: 2^9 	Recursive Doubling and Brucks Algorithm: 0.0001873033870967743		Ring Algorithm: 0.0002221553870967743

Performance for Process Count: 16
For message size: 2^0 	Recursive Doubling and Brucks Algorithm: 2.9015572942501413e-06		Ring Algorithm: 1.0874379833584207e-05
For message size: 2^1 	Recursive Doubling and Brucks Algorithm: 2.903906392378805e-06		Ring Algorithm: 1.087672893171287e-05
For message size: 2^2 	Recursive Doubling and Brucks Algorithm: 2.908604588636132e-06		Ring Algorithm: 1.0881427127970196e-05
For message size: 2^3 	Recursive Doubling and Brucks Algorithm: 2.918000981150786e-06		Ring Algorithm: 1.0890823520484852e-05
For message size: 2^4 	Recursive Doubling and Brucks Algorithm: 2.936793766180095e-06		Ring Algorithm: 1.0909616305514159e-05
For message size: 2^5 	Recursive Doubling and Brucks Algorithm: 2.974379336238712e-06		Ring Algorithm: 1.0947201875572776e-05
For message size: 2^6 	Recursive Doubling and Brucks Algorithm: 3.049550476355946e-06		Ring Algorithm: 1.102237301569001e-05
For message size: 2^7 	Recursive Doubling and Brucks Algorithm: 3.199892756590414e-06		Ring Algorithm: 1.1172715295924479e-05
