=============================================================================================
Intra-Node Communication

Performance for Process Count: 2
For message size: 2^0 	Recursive Doubling: 7.27307753700944e-07		Binomial Tree Algorithm: 1.454615507401888e-06		Rabenseifner's Algorithm: 1.4521098027313134e-06
For message size: 2^1 	Recursive Doubling: 7.298134583715184e-07		Binomial Tree Algorithm: 1.4596269167430368e-06		Rabenseifner's Algorithm: 1.454615507401888e-06
For message size: 2^2 	Recursive Doubling: 7.348248677126673e-07		Binomial Tree Algorithm: 1.4696497354253346e-06		Rabenseifner's Algorithm: 1.4596269167430368e-06
For message size: 2^3 	Recursive Doubling: 7.448476863949652e-07		Binomial Tree Algorithm: 1.4896953727899305e-06		Rabenseifner's Algorithm: 1.4696497354253346e-06
For message size: 2^4 	Recursive Doubling: 7.648933237595609e-07		Binomial Tree Algorithm: 1.5297866475191218e-06		Rabenseifner's Algorithm: 1.4896953727899305e-06
For message size: 2^5 	Recursive Doubling: 8.049845984887525e-07		Binomial Tree Algorithm: 1.609969196977505e-06		Rabenseifner's Algorithm: 1.5297866475191218e-06
For message size: 2^6 	Recursive Doubling: 8.851671479471354e-07		Binomial Tree Algorithm: 1.7703342958942707e-06		Rabenseifner's Algorithm: 1.609969196977505e-06
For message size: 2^7 	Recursive Doubling: 1.0455322468639013e-06		Binomial Tree Algorithm: 2.0910644937278025e-06		Rabenseifner's Algorithm: 1.7703342958942707e-06
For message size: 2^8 	Recursive Doubling: 1.366262444697433e-06		Binomial Tree Algorithm: 2.732524889394866e-06		Rabenseifner's Algorithm: 2.0910644937278025e-06
For message size: 2^9 	Recursive Doubling: 2.007722840364497e-06		Binomial Tree Algorithm: 4.015445680728994e-06		Rabenseifner's Algorithm: 2.732524889394866e-06
For message size: 2^10 	Recursive Doubling: 3.290643631698624e-06		Binomial Tree Algorithm: 6.581287263397248e-06		Rabenseifner's Algorithm: 4.015445680728994e-06
For message size: 2^11 	Recursive Doubling: 9.072741935483869e-06		Binomial Tree Algorithm: 1.8145483870967738e-05		Rabenseifner's Algorithm: 1.7785741935483865e-05
For message size: 2^12 	Recursive Doubling: 9.43248387096774e-06		Binomial Tree Algorithm: 1.886496774193548e-05		Rabenseifner's Algorithm: 1.8145483870967738e-05
For message size: 2^13 	Recursive Doubling: 1.0151967741935483e-05		Binomial Tree Algorithm: 2.0303935483870966e-05		Rabenseifner's Algorithm: 1.886496774193548e-05
For message size: 2^14 	Recursive Doubling: 1.1590935483870968e-05		Binomial Tree Algorithm: 2.3181870967741936e-05		Rabenseifner's Algorithm: 2.0303935483870966e-05
For message size: 2^15 	Recursive Doubling: 1.4468870967741936e-05		Binomial Tree Algorithm: 2.8937741935483873e-05		Rabenseifner's Algorithm: 2.3181870967741936e-05
For message size: 2^16 	Recursive Doubling: 2.0224741935483877e-05		Binomial Tree Algorithm: 4.0449483870967753e-05		Rabenseifner's Algorithm: 2.8937741935483873e-05
For message size: 2^17 	Recursive Doubling: 3.173648387096776e-05		Binomial Tree Algorithm: 6.347296774193551e-05		Rabenseifner's Algorithm: 4.0449483870967753e-05
For message size: 2^18 	Recursive Doubling: 5.475996774193551e-05		Binomial Tree Algorithm: 0.00010951993548387102		Rabenseifner's Algorithm: 6.347296774193551e-05
For message size: 2^19 	Recursive Doubling: 0.00010080693548387103		Binomial Tree Algorithm: 0.00020161387096774206		Rabenseifner's Algorithm: 0.00010951993548387102
For message size: 2^20 	Recursive Doubling: 0.00019290087096774207		Binomial Tree Algorithm: 0.00038580174193548415		Rabenseifner's Algorithm: 0.00020161387096774206

Performance for Process Count: 4
For message size: 2^0 	Recursive Doubling: 1.454615507401888e-06		Binomial Tree Algorithm: 2.909231014803776e-06		Rabenseifner's Algorithm: 2.9029667531273395e-06
For message size: 2^1 	Recursive Doubling: 1.4596269167430368e-06		Binomial Tree Algorithm: 2.9192538334860735e-06		Rabenseifner's Algorithm: 2.906725310133201e-06
For message size: 2^2 	Recursive Doubling: 1.4696497354253346e-06		Binomial Tree Algorithm: 2.939299470850669e-06		Rabenseifner's Algorithm: 2.9142424241449245e-06
For message size: 2^3 	Recursive Doubling: 1.4896953727899305e-06		Binomial Tree Algorithm: 2.979390745579861e-06		Rabenseifner's Algorithm: 2.9292766521683716e-06
For message size: 2^4 	Recursive Doubling: 1.5297866475191218e-06		Binomial Tree Algorithm: 3.0595732950382437e-06		Rabenseifner's Algorithm: 2.9593451082152653e-06
For message size: 2^5 	Recursive Doubling: 1.609969196977505e-06		Binomial Tree Algorithm: 3.21993839395501e-06		Rabenseifner's Algorithm: 3.0194820203090523e-06
